"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1921858835695689982","Mon May 12 09:23:47 +0000 2025","0","Filternya brutal bener jadi kaya AI melani rakyat gibran","1921858835695689982","","","in","","0","0","0","https://x.com/undefined/status/1921858835695689982","2556599197",
"1921748821471617227","Mon May 12 08:02:05 +0000 2025","0","@B3doel___ Benerin jembatannya pakai AI gak pak @gibran_tweet ?","1921838275372671277","","B3doel___","in","","0","0","0","https://x.com/undefined/status/1921838275372671277","1760626724952555520",
"1921831166597910595","Mon May 12 07:46:01 +0000 2025","19","@wonrunpit pantes wapresnya gibran ai","1921834232088801578","","wonrunpit","in","","0","0","0","https://x.com/undefined/status/1921834232088801578","1477620975336185856",
"1921457777769124298","Mon May 12 07:13:05 +0000 2025","0","@SamBiring353872 @imadeee87 @footycinephile @integreet Mahasiswa itb manfaatin AI atas perintah GIBRAN fufufafa..PADAHAL undang2 pembatasanya blm dibikin...giliran bnr2 dimanfaatin...malah ditangkap...Dan disitulah letak kegoblokan GIBRAN fufufafa yg memberi perintah... paham Luh..!!","1921825942462161371","","SamBiring353872","in","","0","0","0","https://x.com/undefined/status/1921825942462161371","1450187701718642688",
"1921727532178493556","Mon May 12 06:20:22 +0000 2025","0","@V3g3L Hehehe bikin orang haru biru-nangis pake produk AI termasuk penipuan atau kecerdasan ya coba dijawab neh @gibran_tweet","1921812677896114658","","V3g3L","in","","0","0","0","https://x.com/undefined/status/1921812677896114658","1903077584029749248",
"1921204892552564803","Mon May 12 05:21:52 +0000 2025","0","@moscatuo Lah bukannya sm gibran suruh pake AI ?","1921797955285078491","","moscatuo","in","","0","0","0","https://x.com/undefined/status/1921797955285078491","1286691364818673665",
"1921204892552564803","Mon May 12 04:35:21 +0000 2025","0","@kmjeian @moscatuo Kan sesuai dengan video Gibran yg lebih banyak dislikenya daripada likenya harus menggunakan ai... Ya inilah hasilnya kalo hanya sekedar menggunakan bukan membuat...","1921786250047926733","","kmjeian","in","","0","1","0","https://x.com/undefined/status/1921786250047926733","1873750023613329408",
"1921553371590172834","Mon May 12 04:16:10 +0000 2025","0","@susukacangcung @NenkMonica Bang lu lupa kalo AI juga solusinya? kan ini orang suka bgt bilang AI sbg solusi-solusi @gibran_tweet","1921781419979792653","","susukacangcung","in","","0","0","0","https://x.com/undefined/status/1921781419979792653","1431990238096683021",
"1921375264509964585","Mon May 12 04:12:22 +0000 2025","0","@lapen_melon @kenhans03 @B3doel___ @prabowo @gibran_tweet @KemensetnegRI @Kemdikdasmen Memperbaiki fasilitas dan prasarana sekolah lebih penting saat ini terutama di daerah seperti NTT. Sekolah dengan bangunan aman sanitasi layak dan sumber daya dasar mendukung kehadiran dan prestasi siswa. Tanpa ini kurikulum AI sulit diterapkan karena membutuhkan teknologi","1921780464060354981","","lapen_melon","in","","0","0","0","https://x.com/undefined/status/1921780464060354981","1720665183188922368",
"1921749067291369777","Mon May 12 04:11:17 +0000 2025","0","@kangtaphyun gibran aj pake AI masa kt egk","1921780193900757305","","kangtaphyun","in","","0","0","0","https://x.com/undefined/status/1921780193900757305","1804694276447825920",
"1921375264509964585","Mon May 12 04:10:33 +0000 2025","0","@kenhans03 @B3doel___ @prabowo @gibran_tweet @KemensetnegRI @Kemdikdasmen @grok lebih penting mana memperbaiki fasilitas &amp; prasarana sekolah atau memasukan kurikulum AI?","1921780007409496227","","kenhans03","in","","0","1","0","https://x.com/undefined/status/1921780007409496227","118082519",
"1921748821471617227","Mon May 12 04:00:57 +0000 2025","0","@B3doel___ Malah @gibran_tweet fokusnya ai ai Mulu. Sebelum ngomong kek gitu liat nih video penting nya hal ini daripada ai dan jangan cmn mau diliat cmn dianggap kerja padahal sumbangsih kagak ada","1921777592392175870","","B3doel___","in","","0","0","0","https://x.com/undefined/status/1921777592392175870","1308627898849345537",
"1921777196135235889","Mon May 12 03:59:23 +0000 2025","4","bapakku bimlek ya lagian ngapain ditangkep sih? orang gitu doang lagian si gibran yang nyuruh kan kemaren AI AI AWOWKOWKWOWKWOKWOWK","1921777196135235889","","","in","","0","0","0","https://x.com/undefined/status/1921777196135235889","1693270430700965888",
